# TOCFL vocabulary list, levels 1-5
# Published on 2013-04-30
#
# Downloaded from: http://www.sc-top.org.tw/english/download.php
# Direct download link: http://www.sc-top.org.tw/download/8000zhuyin.rar
# Accessed on 2014-01-12
#
# Part of speech key (詞類標記表):
# Adv: Adverb, 副詞
# Conj: Conjunction, 連接詞
# Det: Determiner (依據平衡語料庫), 限定詞
# M: Measure, 量詞
# N: Noun, 名詞
# P: Particle, 助詞
# Post: Postposition (依據平衡語料庫), 後置詞
# Prep: Preposition, 介詞
# VA: Action verb, 動作動詞
# VS: State verb, 狀態動詞
#
# Column header:
# Word, Level, Part of speech, Category
希望,1,VS/N,購物
便宜,1,VS/N,購物
貴,1,VS/Det,購物
容易,1,VS,購物
難,1,VS,購物
要,1,Adv/VA,購物
好吃,1,VS,購物
商店,1,N,購物
店,1,N,購物
市場,1,N,購物
重要,1,VS,購物
給,1,Prep/VA,購物
有,1,VA,購物
公斤,1,M,購物
顏色,1,N,購物
黃色,1,N,購物
白色,1,N,購物
衣服,1,N,購物
襪子,1,N,購物
褲子,1,N,購物
裙子,1,N,購物
鞋子,1,N,購物
雙,1,VS/M,購物
大,1,VS,購物
長,1,VS/VA,購物
小,1,VS,購物
短,1,VS,購物
新,1,VS,購物
錢,1,N,購物
元,1,M,購物
比,1,Prep/VA,購物
多少,1,Adv,購物
小心,1,VS,購物
一樣,1,VS/N,購物
牛奶,1,N,飲食
肉,1,N,飲食
蛋,1,N,飲食
菜,1,N,飲食
餃子,1,N,飲食
飯,1,N,飲食
麵,1,N,飲食
湯,1,N,飲食
包子,1,N,飲食
蛋糕,1,N,飲食
麵包,1,N,飲食
水果,1,N,飲食
蘋果,1,N,飲食
香蕉,1,N,飲食
食物,1,N,飲食
飲料,1,N,飲食
果汁,1,N,飲食
酒,1,N,飲食
杯,1,M,飲食
杯子,1,N,飲食
請,1,VA,飲食
吃,1,VA,飲食
喝,1,VA,飲食
多,1,Adv/VS,飲食
少,1,Adv/VS,飲食
甜,1,VS,飲食
菜單,1,N,飲食
巧克力,1,N,飲食
幾,1,Det,飲食
塊,1,M,飲食
碗,1,M/N,飲食
盤子,1,N,飲食
片,1,M,飲食
瓶,1,M,飲食
件,1,M,飲食
一半,1,Det,飲食
一半兒,1,Det,飲食
因為,1,Conj,其他
所以,1,Conj,其他
可是,1,Adv/Conj,其他
和,1,Prep/Conj,其他
跟,1,Prep/Conj/VA,其他
一起,1,Adv,其他
沒,1,P/Adv/VS,其他
不,1,Adv,其他
也,1,Adv,其他
都,1,Adv,其他
只,1,Adv/M,其他
得,1,P/Adv/VS,其他
了,1,P/VS,其他
著,1,P/VA,其他
還是,1,Adv/Conj,其他
可能,1,Adv/N,其他
一定,1,Adv/VS,其他
出生,2,VA,個人資料
國,2,N,個人資料
不同,2,VS,個人資料
地址,2,N,個人資料
市,2,N,個人資料
傳真,2,VA/N,個人資料
留言,2,VA,個人資料
日期,2,N,個人資料
時間,2,N,個人資料
鐘頭,2,N,個人資料
晚,2,VS/N,個人資料
夜,2,N,個人資料
禮拜,2,N,個人資料
禮拜天,2,N,個人資料
前天,2,N,個人資料
後天,2,VS/N,個人資料
從前,2,N,個人資料
夏,2,N,個人資料
冬,2,N,個人資料
秋,2,N,個人資料
春,2,N,個人資料
一會兒,2,N,個人資料
不久,2,N,個人資料
剛剛,2,Adv,個人資料
剛才,2,N,個人資料
當然,2,Adv,個人資料
自己,2,N,個人資料
別人,2,N,個人資料
年紀,2,N,個人資料
男人,2,N,個人資料
女人,2,N,個人資料
大人,2,N,個人資料
老人,2,N,個人資料
習慣,2,VS/N,個人資料
家庭,2,N,個人資料
父親,2,N,個人資料
母親,2,N,個人資料
父母,2,N,個人資料
爺爺,2,N,個人資料
奶奶,2,N,個人資料
關係,2,VS/N,個人資料
教堂,2,N,個人資料
最,2,Adv,個人資料
更,2,Adv,個人資料
愉快,2,VS,個人資料
開心,2,VS,個人資料
著急,2,VS,個人資料
擔心,2,VS,個人資料
生氣,2,VS/N,個人資料
怕,2,Adv/VS,個人資料
哭,2,VA,個人資料
難過,2,VS,個人資料
傷心,2,VS,個人資料
美,2,VS,個人資料
美麗,2,VS,個人資料
聰明,2,VS,個人資料
認真,2,VS,個人資料
勇敢,2,VS,個人資料
禮貌,2,VS/N,個人資料
害羞,2,VS,個人資料
應該,2,Adv/VS,個人資料
相信,2,VS,個人資料
經驗,2,VS/N,個人資料
關心,2,VS,個人資料
辛苦,2,VS,個人資料
願意,2,VS,個人資料
心情,2,N,個人資料
幸福,2,VS,個人資料
可憐,2,VS,個人資料
差,2,VS/N,個人資料
職業,2,N,工作
教師,2,N,工作
經理,2,N,工作
記者,2,N,工作
服務員,2,N,工作
服務生,2,N,工作
顧客,2,N,工作
教書,2,VA,工作
開會,2,VA,工作
下班,2,VA,工作
危險,2,VS,工作
安全,2,VS/N,工作
成功,2,VS,工作
報告,2,N/VA,工作
打算,2,N/VA,工作
機會,2,N,工作
當,2,Prep/Det/VA,工作
如果,2,Conj,工作
計畫,2,N/VA,工作
計劃,2,VA,工作
努力,2,VS/N,工作
管理,2,N/VA,工作
學院,2,N,教育
小學生,2,N,教育
大學生,2,N,教育
同學,2,N,教育
校長,2,N,教育
放假,2,VS,教育
畢業,2,VS,教育
開學,2,VS,教育
成績,2,N,教育
學期,2,N,教育
學費,2,N,教育
暑假,2,N,教育
寒假,2,N,教育
服務,2,N/VA,教育
宿舍,2,N,教育
操場,2,N,教育
校園,2,N,教育
中文,2,N,教育
文化,2,N,教育
語法,2,N,教育
漢語,2,N,教育
書法,2,N,教育
班,2,M/N,教育
書桌,2,N,教育
課,2,N,教育
字典,2,N,教育
漢字,2,N,教育
鉛筆,2,N,教育
尺,2,M/N,教育
毛筆,2,N,教育
教,2,VS/VA,教育
講,2,VA,教育
講話,2,VA,教育
告訴,2,VA,教育
念,2,VA,教育
唸,2,VA,教育
討論,2,VA,教育
認為,2,VA,教育
解釋,2,VA/N,教育
同意,2,VS,教育
了解,2,VS,教育
瞭解,2,VS,教育
清楚,2,VS,教育
無聊,2,VS,教育
遍,2,M,教育
交,2,VA,教育
借,2,VA,教育
算,2,VA,教育
對,2,Prep/VS/M/VA,教育
錯,2,VS/N,教育
辦法,2,N,教育
方法,2,N,教育
有用,2,VS,教育
進步,2,VS,教育
忘,2,VS,教育
記,2,VS/VA,教育
公寓,2,N,房屋與家庭、環境
大樓,2,N,房屋與家庭、環境
臥室,2,N,房屋與家庭、環境
花園,2,N,房屋與家庭、環境
門口,2,N,房屋與家庭、環境
浴室,2,N,房屋與家庭、環境
樓梯,2,N,房屋與家庭、環境
牆,2,N,房屋與家庭、環境
洗衣機,2,N,房屋與家庭、環境
冰箱,2,N,房屋與家庭、環境
燈,2,N,房屋與家庭、環境
打開,2,VA,房屋與家庭、環境
盒子,2,N,房屋與家庭、環境
鄰居,2,N,房屋與家庭、環境
熱鬧,2,VS,房屋與家庭、環境
吵,2,VS/VA,房屋與家庭、環境
滿意,2,VS,房屋與家庭、環境
乾淨,2,VS,房屋與家庭、環境
房租,2,N,房屋與家庭、環境
租,2,VA,房屋與家庭、環境
開水,2,N,房屋與家庭、環境
鄉下,2,N,房屋與家庭、環境
森林,2,N,房屋與家庭、環境
地,2,P/N,房屋與家庭、環境
草,2,N,房屋與家庭、環境
枝,2,M,房屋與家庭、環境
隻,2,M,房屋與家庭、環境
動物,2,N,房屋與家庭、環境
牛,2,N,房屋與家庭、環境
虎,2,N,房屋與家庭、環境
羊,2,N,房屋與家庭、環境
豬,2,N,房屋與家庭、環境
月亮,2,N,房屋與家庭、環境
星星,2,N,房屋與家庭、環境
雲,2,N,房屋與家庭、環境
地球,2,N,房屋與家庭、環境
世界,2,N,房屋與家庭、環境
環境,2,N,房屋與家庭、環境
火,2,N,房屋與家庭、環境
晴天,2,N,房屋與家庭、環境
暖和,2,VS,房屋與家庭、環境
涼快,2,VS,房屋與家庭、環境
溫暖,2,VS,房屋與家庭、環境
度,2,M/VA,房屋與家庭、環境
溫度,2,N,房屋與家庭、環境
雨,2,N,房屋與家庭、環境
雪,2,N,房屋與家庭、環境
空氣,2,N,房屋與家庭、環境
間,2,M/N,房屋與家庭、環境
睡,2,VA,日常生活
發生,2,VS,日常生活
發現,2,N/VA,日常生活
照顧,2,VA,日常生活
打掃,2,VA,日常生活
餐,2,M/N,日常生活
起來,2,3/VA,日常生活
搬,2,VA,日常生活
掛,2,VA,日常生活
有空,2,VS,日常生活
有空兒,2,VS,日常生活
過年,2,VA,日常生活
結束,2,VS,閒暇時間、娛樂
完,2,VS,閒暇時間、娛樂
散步,2,VA,閒暇時間、娛樂
爬,2,VA,閒暇時間、娛樂
跳,2,VA,閒暇時間、娛樂
座位,2,N,閒暇時間、娛樂
博物館,2,N,閒暇時間、娛樂
節目,2,N,閒暇時間、娛樂
新聞,2,N,閒暇時間、娛樂
政治,2,N,閒暇時間、娛樂
體育,2,N,閒暇時間、娛樂
網站,2,N,閒暇時間、娛樂
還,2,Adv/VA,閒暇時間、娛樂
經常,2,Adv,閒暇時間、娛樂
平常,2,VS/N,閒暇時間、娛樂
總是,2,Adv,閒暇時間、娛樂
已經,2,Adv,閒暇時間、娛樂
各,2,Adv/Det,閒暇時間、娛樂
雜誌,2,N,閒暇時間、娛樂
文章,2,N,閒暇時間、娛樂
故事,2,N,閒暇時間、娛樂
小說,2,N,閒暇時間、娛樂
美術,2,N,閒暇時間、娛樂
藝術,2,N,閒暇時間、娛樂
興趣,2,N,閒暇時間、娛樂
收,2,VA,閒暇時間、娛樂
談,2,VA,閒暇時間、娛樂
聊天,2,VA,閒暇時間、娛樂
聊天兒,2,VA,閒暇時間、娛樂
唱,2,VA,閒暇時間、娛樂
歌,2,N,閒暇時間、娛樂
早,2,Adv/VS,閒暇時間、娛樂
遲到,2,VS,閒暇時間、娛樂
後來,2,N,閒暇時間、娛樂
變,2,VS/VA,閒暇時間、娛樂
跳舞,2,VA,閒暇時間、娛樂
樂器,2,N,閒暇時間、娛樂
吉他,2,N,閒暇時間、娛樂
鋼琴,2,N,閒暇時間、娛樂
可怕,2,VS,閒暇時間、娛樂
活動,2,VA/N,閒暇時間、娛樂
就,2,Adv/Prep/VS,閒暇時間、娛樂
消息,2,N,閒暇時間、娛樂
才,2,Adv,閒暇時間、娛樂
又,2,Adv,閒暇時間、娛樂
客人,2,N,與他人的關係
不好意思,2,,與他人的關係
怎麼了,2,,與他人的關係
怎麼辦,2,,與他人的關係
客氣,2,VS,與他人的關係
舞會,2,N,與他人的關係
最近,2,Adv/N,與他人的關係
請客,2,VA,與他人的關係
慶祝,2,VA,與他人的關係
聽說,2,VA,與他人的關係
感謝,2,VS,與他人的關係
見面,2,VA,與他人的關係
約,2,Adv/VA,與他人的關係
事,2,N,與他人的關係
事情,2,N,與他人的關係
明信片,2,N,與他人的關係
卡片,2,N,與他人的關係
幫,2,M/VA,與他人的關係
弄,2,VA,與他人的關係
檢查,2,VA,與他人的關係
通知,2,N/VA,與他人的關係
麻煩,2,VS/N,與他人的關係
偷,2,Adv/VA,與他人的關係
錢包,2,N,與他人的關係
拉,2,VA,與他人的關係
小偷,2,N,與他人的關係
滿,2,Adv/VS/Det,與他人的關係
丟,2,VS/VA,與他人的關係
啊,2,P,與他人的關係
汽車,2,N,與他人的關係
輛,2,M,與他人的關係
船,2,N,與他人的關係
船兒,2,N,與他人的關係
停車場,2,N,與他人的關係
搭,2,VA,與他人的關係
起飛,2,VA,與他人的關係
出,2,VS/VA,與他人的關係
出來,2,VA,與他人的關係
進,2,VA,與他人的關係
進去,2,VA,與他人的關係
回去,2,VA,與他人的關係
路口,2,N,與他人的關係
紅綠燈,2,N,與他人的關係
橋,2,N,與他人的關係
左,2,N,與他人的關係
右,2,N,與他人的關係
外,2,N,與他人的關係
裡,2,N,與他人的關係
這邊,2,N,與他人的關係
這些,2,Det,與他人的關係
那些,2,Det,與他人的關係
那邊,2,N,與他人的關係
旅遊,2,N/VA,與他人的關係
動物園,2,N,與他人的關係
出發,2,VA,與他人的關係
離開,2,VA,與他人的關係
向,2,Adv/Prep,與他人的關係
南,2,N,與他人的關係
南部,2,N,與他人的關係
南邊,2,N,與他人的關係
西,2,N,與他人的關係
西部,2,N,與他人的關係
西邊,2,N,與他人的關係
北,2,N,與他人的關係
北部,2,N,與他人的關係
北邊,2,N,與他人的關係
東,2,N,與他人的關係
東部,2,N,與他人的關係
東邊,2,N,與他人的關係
經過,2,Prep/N/VA,與他人的關係
轉,2,VS/VA,與他人的關係
掉,2,VS,與他人的關係
一直,2,Adv,與他人的關係
過去,2,N/VA,與他人的關係
最後,2,N,與他人的關係
動,2,VA,與他人的關係
躺,2,VA,與他人的關係
起,2,3/VS/N/VA/M,與他人的關係
停,2,VS,與他人的關係
中心,2,N,與他人的關係
外國,2,N,與他人的關係
護照,2,N,與他人的關係
行李,2,N,與他人的關係
出口,2,N/VA,與他人的關係
油,2,VS/N,與他人的關係
鑰匙,2,N,與他人的關係
袋子,2,N,與他人的關係
公里,2,M,與他人的關係
方向,2,N,與他人的關係
出現,2,VS,與他人的關係
交通,2,N,與他人的關係
臉,2,N,健康及身體照護
腿,2,N,健康及身體照護
腳,2,N,健康及身體照護
心,2,N,健康及身體照護
鼻,2,N,健康及身體照護
鼻子,2,N,健康及身體照護
背,2,N,健康及身體照護
嘴巴,2,N,健康及身體照護
脖子,2,N,健康及身體照護
